# Last updated: August 2013 by M. Oiestad, MET
LIGHT (draugen)		15
2.00	10.0	10.0	10.0
72.00	29.6	883.2	58.0	30275.7	9045.8	29.5	0.0
96.00	30.5	884.0	60.1	33342.0	9764.6	30.0	0.0
120.00	31.3	884.7	61.6	35976.0	10390.3	30.3	0.0
480.00	36.4	889.0	68.9	60498.7	16419.2	32.7	0.0
FRAM SOMMER		15
2.0	10.0	13.0	13.0
0.00	0.0	858.0	0.0	641.0	641.0	15.0	0.0
0.25	13.2	869.1	0.5	2830.7	2773.9	21.8	0.0
0.50	15.5	871.1	1.8	3521.0	3261.0	22.9	0.0
1.00	17.8	873.1	5.9	4380.8	3451.1	24.0	0.0
2.00	20.1	875.0	15.2	5432.8	3215.9	25.0	0.0
3.00	21.4	876.2	21.7	6158.2	3114.6	25.7	0.0
6.00	23.7	878.1	30.6	7620.2	3243.6	26.7	0.0
9.00	25.0	879.3	34.9	8643.7	3427.4	27.4	0.0
12.00	26.0	880.1	37.8	9452.8	3586.4	27.8	0.0
24.00	28.3	882.1	44.5	11775.5	4082.1	28.9	0.0
48.00	30.7	884.1	50.3	14734.5	4768.5	30.0	0.0
72.00	32.1	885.3	53.2	16856.6	5284.3	30.7	0.0
96.00	33.1	886.2	55.1	18592.7	5716.2	31.2	0.0
120.00	34.0	887.0	56.4	20097.1	6096.2	31.6	0.0
480.00	40.3	892.4	62.8	36498.7	10426.9	34.6	0.0
FROY			15
2.0	10.0	10.0	10.0
0.00	0.0	839.0	0.0	10.8	10.8	12.0	0.0
0.25	19.0	870.8	0.1	113.4	113.7	21.9	65.5
0.50	21.9	875.4	0.4	166.3	168.3	23.4	76.9
1.00	24.6	879.6	1.7	238.1	250.0	24.8	87.9
2.00	27.2	883.6	4.9	333.5	385.6	26.1	98.5
3.00	28.6	885.9	7.4	402.0	500.3	26.8	104.5
6.00	31.0	889.4	11.4	543.5	766.2	28.0	114.5
9.00	32.3	891.5	14.2	646.2	994.2	28.7	120.3
12.00	33.2	892.9	16.4	730.2	1204.3	29.2	124.4
24.00	35.5	896.4	22.3	980.3	1961.1	30.3	134.7
48.00	37.7	899.9	28.8	1312.7	3276.1	31.5	145.0
72.00	39.0	901.9	32.6	1550.6	4428.7	32.2	151.1
96.00	39.9	903.2	35.3	1742.5	5481.6	32.6	155.4
120.00	40.6	904.3	37.4	1904.6	6451.7	33.0	158.7
480.00	45.3	911.7	50.1	3555.1	19693.5	35.5	182.5
GAUPE			15
2.0	10.0	10.0	10.0
0.00	0.0	862.0	0.0	199.9	199.9
0.25	7.1	870.6	7.0	337.7	417.9
0.50	8.7	872.6	14.0	379.8	584.9
1.00	10.4	874.5	25.8	426.0	963.8
2.00	12.0	876.4	43.0	479.0	1963.5
3.00	13.0	877.6	54.1	513.9	3176.9
6.00	14.8	879.7	69.2	581.3	6474.2
9.00	15.8	880.9	73.4	626.6	8275.4
12.00	16.6	881.8	74.6	662.0	9170.6
24.00	18.6	884.1	75.0	759.2	10711.8
48.00	20.6	886.5	75.0	875.4	12353.6
72.00	21.8	887.9	75.0	952.0	13435.5
96.00	22.6	888.9	75.0	1011.7	14277.7
120.00	23.3	889.7	75.0	1061.4	14978.3
480.00	28.2	895.5	75.0	1501.4	21189.0
GJOA SOMMER_10		12
2.0	15.0	10.0	10.0
0.0	0.0	836.0	0.0	37.0	37.0	0.0	0.0
1.0	27.0	836.0	8.0	37.0	37.0	0.0	0.0
2.0	31.0	836.0	16.0	65.0	65.0	0.0	0.0
3.0	33.0	836.0	22.0	92.0	92.0	0.0	0.0
6.0	35.0	836.0	33.0	160.0	160.0	0.0	0.0
9.0	37.0	836.0	39.0	220.0	220.0	0.0	0.0
12.0	37.0	836.0	43.0	260.0	260.0	0.0	0.0
24.0	39.0	836.0	51.0	380.0	380.0	0.0	0.0
48.0	39.0	836.0	54.0	510.0	510.0	0.0	0.0
72.0	40.0	836.0	54.0	570.0	570.0	0.0	0.0
96.0	40.0	836.0	54.0	630.0	630.0	0.0	0.0
120.0	40.0	836.0	54.0	690.0	690.0	0.0	0.0
GJOA SOMMER_15	12
2.0  	15.0	15.0	10.0
0.0	0.0	836.0	0.0	63.0	63.0	0.0	0.0
1.0	30.0	836.0	16.0	63.0	63.0	0.0	0.0
2.0	32.0	836.0	26.0	110.0	110.0	0.0	0.0
3.0	33.0	836.0	32.0	160.0	160.0	0.0	0.0
6.0	34.0	836.0	42.0	250.0	250.0	0.0	0.0
9.0	34.0	836.0	46.0	320.0	320.0	0.0	0.0
12.0	34.0	836.0	50.0	370.0	370.0	0.0	0.0
24.0	34.0	836.0	54.0	500.0	500.0	0.0	0.0
48.0	34.0	836.0	54.0	630.0	630.0	0.0	0.0
72.0	34.0	836.0	54.0	730.0	730.0	0.0	0.0
96.0	34.0	836.0	54.0	810.0	810.0	0.0	0.0
120.0	34.0	836.0	54.0	880.0	880.0	0.0	0.0
GJOA VINTER_10	12
2.0  	5.0	10.0	10.0
0.0	0.0	836.0	0.0	120.0	120.0	0.0	0.0
